,TCAS,AcademicYear,GPA_Eng,GPA_Math,GPA_Sci,GPA_Sco,GPAX,FacultyName,StudentType,MajorName
1640,1,2562,4.0,2.9,2.76,4.0,3.36,6,THAI,English
1641,2,2562,2.4,2.46,2.18,2.95,2.64,6,THAI,English
1642,1,2562,3.55,3.8,3.66,3.75,3.65,6,THAI,English
1643,1,2562,3.15,1.56,2.5,3.35,2.91,6,THAI,English
1644,2,2562,3.66,3.3,3.81,3.72,3.72,6,THAI,English
1645,2,2562,3.42,2.94,2.72,3.39,3.14,6,THAI,English
1646,1,2562,2.9,2.5,2.39,2.72,2.81,6,THAI,English
1647,2,2562,3.43,2.08,2.91,3.89,3.09,6,THAI,English
1648,5,2562,2.25,3.14,3.09,2.98,3.0,6,THAI,English
1649,5,2562,3.14,2.53,3.25,3.45,3.23,6,THAI,English
